LWL number	"not in catalogue...(500)"	BM reg number	quoted description	in BM online (520)	264 year(s)	655 years	majority year	description
6444994	False	[]	False	False	[]	['1775', '1775', '1775', '1775', '1775']	1775	A satire on governmental policy towards America. Depicts the Earl of Bute on the left and Earl of Mansfield with Lord North on the right dancing around a tall thistle which is draped with a Garter ribbon emblazoned with the motto "Honi soit qui mal y pense" having above it, at the center of a halo of light, the motto "Carduus benedictus." A devil hovers above the scene playing bagpipes. Mansfield holds a copy of the Quebec Bill, with a banner beneath him proclaiming "Nemo me impune lacessit". The banner beneath Bute is labelled "Noli me tangere."
6445271	False	[]	False	False	[]	['1775', '1775', '1775']	1775	Eight people crowd around a dining table, a woman on the right having fainted, perhaps choking, while two gentlemen attempt to revive her. Other diners continue eating as a maid carries in a dripping tray of meat and a dog begs from a woman on the left. Two caricature portraits hang on the background wall.
6453961	False	[]	False	False	[]	['1775', '1793']	1775	Two grotesque figures of a well-dressed man and woman stand before a background of Corinthian pillars topped with Doric capitals. The man points with his left hand to his mouth and grimaces at the viewer.
6460595	False	[]	False	False	[]	['1776', '1776']	1776	In the garden of Bagnigge Wells surrounded by hedges, trees, and a fountain, a well dressed lady is plucking a rose, as another woman behind her looks on. The roof of the circular Temple is visible on the left. By the 1770s, the Bagnigge Wells resort was a notorious meeting place for amorous dalliance.
6468243	False	[]	False	False	[]	['1776']	1776	Phaeton and pair are stopped outside a town house, the box of the conveyance raised on an accordion-like mechanism to enable a lady to climb in from the second storey window. She is fashionably dressed with huge ostrich feathers in her enormous headdress, while the driver in laced coat and top boots extends a hand to help her. In the street below a man and woman with two children look on, as another couple look up in astonishment from the doorway of the house.
6468424	False	[]	False	False	[]	['1776', '1776', '1776', '1776']	1776	In a blacksmith's shop, the Earl of Mansfield forges links of a chain, with Lord North on the left holding his lorgnette in his left hand, with "An Act for prohibiting trade" in his right hand. Lord Sandwich stands to North's left, holding hammer and anchor, with Bute behind them working the bellows and George III looking in the window at the left.
6479930	False	[]	False	False	[]	['1776', '1776', '1776', '1776', '1776']	1776	An attack on the Opposition, depicting Britannia, half naked, restrained by the Duke of Grafton and Alderman Hayley, and attacked by knife-wielding America, the latter directed by Wilkes. Discord waves 2 torches on the left. America, dressed as an Indian woman armed with tomahawk and dagger tramples on the shield of Britannia who is simultaneously attacked by the British lion. Camden holds the lion's reins, while Pitt the Elder and a fox (representing Charles James Fox) stand among the onlookers. A medallion in the foreground bears the image of the pious pelican feeding her young.
6539333	False	[]	True	True	['1782', '1782']	['1782', '1782']	1782	"An enormous snake, so coiled as to make three circles; from its mouth protrudes a forked fang and a label inscribed: "Two British Armies I have thus Burgoyn'd,  And room for more I've got behind." Inside two of the circles are solid squares of British soldiers, while British flags lie on the ground. They represent the armies of Burgoyne and Cornwallis which had been forced to surrender. The last coil, nearest the tail, is empty; on the top of the tail which rears in the air a placard is hung, inscribed "An Apartment to lett for Military Gentlemen." ... In the foreground are stones and foliage, the background is a mountainous landscape ..."--British Museum online catalogue.
6558345	False	[]	False	False	[]	['1776', '1776', '1776']	1776	A woman facing right under an enormous coiffure. Within her hair several scenes illustrate London low-life on May Day, including pigs, a horse-drawn cart, street-vendors, chimney-sweeps, and a Jack-in-the-green.
6559495	False	[]	False	False	[]	['1776', '1776']	1776	Full length depiction of a fashionably dressed woman, a small dog under her left arm. Her head is topped by an enormous heart-shaped coiffure, garlanded with flowers and beads and surmounted by three ostrich feathers.
6565486	False	[]	False	False	[]	['1776']	1776	A tailor, wincing in pain, drops his shears as his bare-breasted wife, wearing only her chemise and cap, beats him with a shoe.
6566674	True	[]	False	False	[]	['1776', '1776']	1776	An enormously fat gentleman, with a footman stationed at his rear, brandishes a whip, as he drives his phaeton behind a pair of diminutive horses. The signpost behind him reads "to Salthill" with a mile marker to the right of the print XIX miles. A crest of a deer or donkey head adorns the side of the carriage.
6567044	True	[]	False	False	[]	['1776', '1776', '1776']	1776	Rear view of a woman's elaborate hairstyle which culminates in a huge bonnet with ostrich plumes. A collection of fruits and vegetables is nestled among her curls, and feathers issue from within the monumental coiffure.
6578814	False	[]	False	False	[]	['1776', '1776']	1776	Full length view of young woman facing right with her enormous coiffure topped by a cap with long trailing ribbons. Her dress, covered by an apron in front, is extended in the back by a huge bustle, forming a resting place on which sits a curly haired lap dog.
6628834	False	[]	False	False	[]	['1777', '1777']	1777	A young dandy carrying walking stick and sword and with huge buttons on his coat, walks towards the left of the print, a long horn sprouting from his forehead and a diminutive woman emerging from his left shoulder. Behind him, arm in arm with a woman, a smiling man points to the first. All three are dressed in the fashion of the mid to late 1770s, the woman with a cork bustle and tall hairdo under her hat.
6629058	False	[]	False	False	[]	['1777', '1777', '1777']	1777	A small-waisted lady with towering coiffure topped by a beribboned hat stands in her boudoir holding onto post of canopy bed, as her footman, bracing his foot on her rump, tightens her stays. A decorative carpet is visible underfoot, and her dressing table may be seen to the left.
6630603	False	[]	False	False	[]	['1777', '1777']	1777	In outdoor setting a lady with large hat and flowered dress walks towards the left of the print looking downward, while in the foreground an older stooped man of much larger proportions, wearing tricorne hat, coat and sword, looks on. Possibly the figures represent Mrs. Lessingham and Justice Addington.
6633452	False	[]	False	False	[]	['1777', '1777', '1777', '1777']	1777	Illustration to William Combe's satirical poem of the same title. An elderly Devil crowns his successor (Simon Luttrell, Lord Irnham) who mounts the throne on the left. Behind Irnham are 5 unsuccessful contenders for the Devil's office, including at far right, Charles Fox as Volpone with the head of a fox. In the background stands a distraught man in chains, while dragons and demons fly overhead and to the side.
6635855	False	[]	False	False	[]	['1777', '1777', '1777']	1777	Half length front view of a young woman with ermine-trimmed gown and muff, and with extremely tall coiffure, of which beer barrels form the side curls. On top of her head an inverted rooster is held down by foxes on either side, the enormous tails of the three animals forming further ornament to the hair.
6639189	False	[]	False	False	[]	['1777', '1777', '1777']	1777	Illustration to The Diabo-lady, probably by William Combe. Simon Luttrell Lord Irnham, shown with a tail and cloven hooves as successor to the Devil, leads his newly selected wife to their thrones on the left. Behind her are 5 unsuccessful contenders for this position, 3 holding papers which identify them as Mrs. Rudd, Lady Ligonier, and the Duchess of Kingston. Demons and imps fly overhead, one bearing crowns for the happy couple.
6639321	False	[]	False	False	[]	['1777', '1777']	1777	Three woman and a man advance from the left with a blanket on which to toss an unsuspecting artist who is seated at the right side of the print. All display the excessive hair styles of the period. The individuals with the blanket appear to be characters from a print which hangs on the wall behind them, "The back-side of a front row" (George 5430), who have come to punish the artist for his caricatures. The artist holds in his hand "Miss Shuttle cock" (George 5376) which also bears the monogram RS, thereby identifying the artist as Richard Sneer. Another print on the wall, entitled "Lex talionis", depicts a person being tossed in a blanket.
6639578	False	[]	False	False	[]	['1777', '1777', '1777']	1777	An enormously fat man holds a walking stick in his right hand as he stands before a lake or river. He wears a tricorne hat and gloves, together with the huge buttons and shoe buckles popular around 1777. Possibly a caricature of Sir Watkin Lewes.
6640383	False	[]	False	False	[]	['1777', '1777', '1777']	1777	In a landscape with trees in the rear, a young woman with extremely tall coiffure augmented at the top by 3 ostrich plumes, runs towards the right, pursued by 9 winged flying bottles evidently aimed at the "cork rump" which fills out the back of her skirts.
6640804	False	[]	False	False	[]	['1777', '1777', '1777']	1777	Seated at a table before a fireplace, a fat woman with a mountainous headress faces an ugly man as they play a game of push-pin. On the right is a sofa, while on the wall behind them 2 portraits (male on left and female on right) hang in oval frames, and a scene depicting a dancing bear and two dancing couples hangs above the fireplace.
6640875	False	[]	False	False	[]	['1777', '1777']	1777	Image above 6 stanzas of explanatory poetry engraved in double columns. A balding lady on horseback in Hyde Park's Rotten Row loses her tête or head-dress to a gust of wind, as her horse bolts toward the right. Two other horsemen as well as a gardener and other passers-by debate the identity of the fallen wig which is decorated with ostrich plumes in the fashion of the period.
6641136	False	[]	False	False	[]	['1777', '1777', '1777']	1777	An old man and three fishwives toss a well-dressed young gentleman in a blanket. The latter wears a sword and huge buttons on his coat. Tubs of oysters and fish occupy the background with some large fish in the foreground.
6641489	False	[]	False	False	[]	['1777', '1777']	1777	Two sedan chairs, borne by liveried chairmen, are about to pass each other on a cobbled street. In the chair on the left, the roof has been elevated to accommodate the enormous, ostrich-plume topped headdress of a lady. The head of a man is visible in the chair on the right.
6642093	False	[]	False	False	[]	['1777', '1777']	1777	A richly dressed but grotesque and balding old lady sits before her dressing table holding a lap dog and attended by a leering hairdresser and his assistant. The former places on her head a huge wig with side curls, flowers on the front and a profusion of ostrich plumes on top. Draperies adorn the dressing table and window, and patterned wall paper and carpet are visible.
6647485	False	[]	False	False	[]	['1777', '1777', '1777']	1777	A fashionably dressed young woman stands before the mirror on her dressing table, a box of pins in her hand. Standing behind her on her huge bustle or "cork rump", her bespectacled hairdresser arranges her mountainous headdress, consisting of rows of curls on the sides and topped by rows of vegetables with ostrich plumes at the summit. A maid carrying a basket of feathers and vegetables approaches on the right.
6649173	False	[]	False	False	[]	['1777', '1777']	1777	In a landscape setting, two young women fashionably attired, and with their elaborate hairstyles adorned with ostrich plumes, flee towards the left pursued by two angry and plucked ostriches. The foremost bird lunges at the feathers on the head of one of his victims, who wards him off with her fan while the lady's dog recoils at his approach.
6649422	False	[]	False	False	[]	['1777', '1777', '1777']	1777	Profile head of a woman facing left with her elaborate hair style occupying the upper two thirds of the print. Her monumental coiffure is decorated with vegetables, carrots and parsnips in particular, while from the top protrude a bunch of asparagus, a pair of scales containing potatoes and herbs reminiscent of then-fashionable ostrich plumes, and trails of hanging pea-pods for ribbons.
6649507	False	[]	False	False	[]	['1777', '1777']	1777	An etching of a young lady in an elegant dress, wearing a gigantic hat with by two large plumes. She holds a lapdog under her right arm and in her left hand, a book.
6663486	False	[]	False	False	[]	['1777', '1777', '1777']	1777	A satire on governmental policy towards America, depicting the deck of a sailing ship, with George III at the helm between 2 large masts. Behind him is the tartan-clad Earl of Bute, and at the rail the Devil casts the lead, announcing "no bottom." The King is depicted as saying "I trust all to you Sawney for I cannot see twice the length of my nose," while Bute reponds "Steady boy, steady and never fear while I am at the cun & my trusty friend at the lead, my dog vane is infallable." On the right of the print near a mast, a sailor warns another Scotsman that the ship is about to strike "the breakers of America" to which the latter replies "Hold your peace man; my Lord has provided cork jackets for all of his party as soon as this damned ship is wreck'd."
6665179	False	[]	False	False	[]	['1777', '1777', '1777', '1777']	1777	Full length portrait of D'Eon dressed half as a man and half as a woman. The left side of the figure wears a full and elegantly styled dress, with hair piled high in the pyramidal fashion of the times. The right side of the image is in men's attire including a military coat, the cross of St. Louis, and a sword.
6666259	True	[]	False	False	[]	['1777', '1777']	1777	In outdoor setting, a full length depiction of a clergyman in black dress and bands, with long unkempt hair and glaring expression. In his hands he holds open a book which reads "Spirituous Hymns to be sung or said standing, sitting or lying mornings or evening."
6666395	False	[]	False	False	[]	[]	0000	A very corpulent couple facing left, promenade arm in arm.  The gentleman, behind the woman, wears a military coat, ruffled shirt and a tricorne hat with a bow on the front. He carries a walking stick, and the pommel of his sword is just visible behind the voluminous dress of his wife, whose face is nearly hidden in an enormous calash hat of the period.
6668102	False	[]	False	False	[]	['1777', '1777', '1777']	1777	Full length depiction of an enormously fat gloved lady wearing a giant beribboned calash hat as she stands in an outdoor setting facing right. Huge curls of hair issue from beneath the hat, and her outer cloak, which is short enough to reveal two-tone shoes, is adorned with large bows and a floral pattern.
6668360	False	[]	False	False	[]	['1777', '1777']	1777	Wearing a fanciful approximation of classical garb, Andromache and Hector embrace each other in a sad farewell. Standing behind Hector on the right, a tearful man in 18th century dress holds a pike and a basket containing bottles. Behind Andromache on the left, a grim faced and tearful woman holds a naked baby who reaches for Hector's hand. Above the woman is a signpost on which is printed "A single-horse chaise" and further inscribed "one bird in hand's worth two in the bush, Mary Security", a phrase also illustrated by a hand holding a fat bird and two birds on a twig.
6669345	False	[]	False	False	[]	['1777', '1777']	1777	A very short and homely woman with a disproportionately large head stands facing right, pensively holding her fan to her lips. She is dressed in a fussy costume with bows and a bustle, and wears an elaborate bonnet with ribbons atop her high-piled hair.
6671296	False	[]	False	False	[]	['1778', '1778']	1778	A lady, wearing over her dress a military coat with epaulets, stands plying her whip as she drives the two small white ponies who pull her carriage past the Cox Heath signpost. Her clothes mirror those of the fat and elderly militia officer who sleeps in the seat at her side, his hands clasped around his sword. A large dog sits in front of her. Observing the spectacle from a side road are three country travellers in a covered wagon which bears a sign "The Maidstone Common Stage Waggon".
6672051	False	[]	False	False	[]	['1778', '1778']	1778	A fashionably dressed woman with elaborate coiffure decorated with ribbons and ostrich plumes, holds a whip in the left hand and reins in the right, as she  rides on the back of a corpulent man with horns. He leans on his walking stick, the reins in his mouth, regarding the viewer with a doleful expression. Beneath the title, a quote from 1 Corinthians 7:4: "The husband hath not power over his own body - but the wife."
6676602	False	[]	False	False	[]	['1778', '1778', '1778']	1778	A Dutchman in a tricorne hat stands facing the viewer with his breeches pockets bulging with coins. He smiles, gesturing with his right hand, his left in a coat pocket.
6687426	False	[]	False	False	[]	['1778', '1778', '1778']	1778	A very fat and sour-looking woman stands facing right, in an outdoor setting with trees in the distance. She is dressed in a fancy striped dress, her mountain of curly hair topped by an elaborate bonnet with ribbons and bows.
6687809	False	[]	False	False	[]	['1778', '1778']	1778	A very fat gentleman on the left paying court to an ugly old lady on the right; both are seated with the gentleman with a small dog beneath his chair and a cat near his feet; the lady is holding a fan and wearing the towering hairstyle of the period. Behind them draperies are pulled aside revealing shelves of books.
6689170	False	[]	False	False	[]	['1778', '1778', '1778']	1778	Design occupying top third of plate shows Bute driving a cart labelled G.R. III, having just crossed the Rubicon, laden with National Debt, Pensioners, etc., drawn by ministerial donkeys including ones labelled North, Germaine, Sandwich, and Weymouth. The donkeys are assailed by opposition dogs Burke, Wilkes, Fox etc. In the upper left an overloaded boat depicts the "Commissioners setting off for America." Smaller insets beneath the main image refer to the balance of power and antiministerial demonstrations. Two columns of dialect verse beneath image, follow the title "A new gallant shew or the ministry's cabinet & minority's closet broke open" signed at bottom by Doodle Doodle Doo. A criticism of both governmental ministry and the opposition.
6689752	False	[]	False	False	[]	['1778', '1778', '1778']	1778	A rather oversized woman with towering hairstyle is seated facing right, singing as she plays a piano. On the piano is a sheet of music entitled "Anna", with more music on the floor and books labelled "Scotch airs," "New songs", and "Cottilio." A small open cupboard is visible beneath the piano, with a small chair and embroidery frame behind the singer. A shelf of books hangs on the wall, together with a mirror and two landscapes.
6690621	False	[]	False	False	[]	['1778', '1778', '1778']	1778	A portly gentleman in a light suit with spots walks facing right, his left hand seemingly resting on one of four posts between which chains are hung. In his right hand he holds up a short whip or riding crop. He wears a powdered wig with curls on the sides and at the back a queue tied with a bow.
6690816	False	[]	False	False	[]	['1778', '1778']	1778	A young barmaid wearing a frilly dormeuse cap and a neckerchief with a breast knot, attends to a group of male customers gathered around the bar. An elderly military officer wearing a saber leans on the bar spooning custard from a glass, while three young men on his left ogle the barmaid. Two other men occupy the right side of the bar, and two dogs the center foreground, a poodle jumping up at the bar, and a pug urinating on a copy of "The Gazette extraordinary" which lies on the floor. Other newspapers are in the hands of the customers, the "Ledger" and the "Morning post". Bottles, glasses and bowls are arranged on shelves behind the girl.
6691001	False	[]	False	False	[]	['1778', '1778', '1778']	1778	A scene before an American fort and palisade, perhaps depicting the indifference of Congress to the sufferings of American soldiers and the pro-slavery attitude of the Americans. A black man lies wounded in the foreground, surrounded by cannon balls. An officer gestures towards him with his hat, turning to a man on the left (possibly meant to represent a Congressman) who is wearing a fur coat, large feathered hat, and is smoking a pipe. To the right of the officer an American soldier points and smiles towards three "Death or Liberty" men, all with grim features and ragged clothes.
6691204	False	[]	False	False	[]	['1778']	1778	A fashionably dressed young woman in a low-cut dress sits talking to an old (bearded but not bald) cleric in monastic habit who holds her hand. Behind the pair another monk peeks around the door smirking. Above the door a painting shows semi-clothed figures. Miss Tittup was a character in Garrick's "Bon Ton".
6691324	False	[]	False	False	[]	['1778', '1778', '1778']	1778	A homely woman stands facing right, in an outdoor setting with trees in the distance. She is dressed in a ruffled dress, her hair topped by an elaborate bonnet with ribbons and bows. In her left hand she carries a mirror which she regards with a smile.
6691825	False	[]	False	False	[]	['1778', '1778']	1778	A crowd of visitors on the right are shown approaching the military camps at Coxheath indicated on the left with tents and cannon. The crowd, preceded by a barking dog, is chiefly comprised of women, led by a prostitute in pseudo-military garb who is carried on the shoulders of a soldier. Behind her a young woman leads a fat military officer wearing a large wig and carrying his sword in his hand. Following are two elderly women, one with a large muff, the other holding crutches and seated in a wheelbarrow pushed by an old man. Other women and soldiers make up the crowd. In the left foreground are three cannons, inscribed "9 P.", "9 Pounder", and "G.R. 12", the latter being admired by several women.
6694497	True	[]	False	False	[]	['1778', '1778']	1778	A dandified young man carrying muff and walking stick is met by a portly older bewigged gentleman (possibly his father or an innkeeper) before an inn. The young man is followed by 3 porters carrying baggage, including 2 sailors the last carrying 2 pistols. The inn's signboard depicting a tree with a face in it, is inscribed below with the name Bullock. In the courtyard behind a man is visible having emerged from a sedan chair.
6694575	False	[]	False	False	[]	['1778', '1778']	1778	A portly bewigged gentleman with banknotes under his arm, appears to be hurriedly leaving his house, which has been sold. On the far left stands a man holding the keys, while a black servant in livery appears to be pleading for his freedom to a man holding a whip. On the right a porter in a pigtail queue is packing. On the floor are rolls of paper marked annuities, and a sheet inscribed "James Sellaway, Broker." The portraits of ancestors have on them slips with lot numbers.
6694756	False	[]	False	False	[]	['1778', '1778']	1778	A goose-stepping officer carrying a javelin and a tricorne hat and wearing a pigtail queue marches towards the left in an outdoor setting. Coxheath was a military encampment.
6694831	False	[]	False	False	[]	['1778', '1778']	1778	A stout woman in a floral print dress and cap stands with her back to the viewer looking at her reflection in the mirror. Two portraits of women hang on the wall on either side of the mirror, beneath which stands a marble topped console table.
