SM.ratio	short	BM online	LWL description	BMSat description
0.98	1162	True	"Major Scott *BRACKETED* hauls at a broad ribbon round Hastings's neck by which he is being drawn up to a gibbet. The ribbon, which passes over a pulley, is inscribed *TRANSCRIBED* . To each of Hastings's feet a large money-bag is attached inscribed respectively *TRANSCRIBED* and *TRANSCRIBED* . Hastings looks with terror towards an Indian with a noose round his neck who emerges from flames and smoke, saying, *TRANSCRIBED* . Small demons in the flames show that Nuncomar is in Hell. The top of the gibbet is decorated with the mask of Burke looking towards Hastings with a satisfied smile. The King and Queen stand together on the left, mourning the fate of Hastings. The Queen is much caricatured as a lean hag, clasping her hands and turning up her eyes; she is pregnant. Under the King's arm is a large packet inscribed *TRANSCRIBED* . Hastings, Scott, and the King wear oriental dress with turbans, that of the King surmounted by a crown. In the background an oriental town is in ruins but flies the British flag; tiny corpses lie in front of the buildings, two of which are Chinese pagodas resembling the one at Kew." - -British Museum online catalogue.	Major Scott *BRACKETED* hauls at a broad ribbon round Hastings's neck by which he is being drawn up to a gibbet. The ribbon, which passes over a pulley, is inscribed *TRANSCRIBED* . To each of Hastings's feet a large money-bag is attached inscribed respectively *TRANSCRIBED* and *TRANSCRIBED* . Hastings looks with terror towards an Indian with a noose round his neck who emerges from flames and smoke, saying, *TRANSCRIBED* . Small demons in the flames show that Nuncomar is in Hell. The top of the gibbet is decorated with the mask of Burke looking towards Hastings with a satisfied smile. The King and Queen stand together on the left, mourning the fate of Hastings. The Queen is much caricatured as a lean hag, clasping her hands and turning up her eyes; she is pregnant. Under the King's arm is a large packet inscribed *TRANSCRIBED* . Hastings, Scott, and the King wear oriental dress with turbans, that of the King surmounted by a crown. In the background an oriental town is in ruins but flies the British flag; tiny corpses lie in front of the buildings, two of which are Chinese pagodas resembling the one at Kew.
0.92	391	True	"A man seated and playing a viol da gamba, the upper end of which is decorated by a carved head with a smiling face, wearing a laurel wreath, which is probably a portrait of the musician. He wears a small wig, a coat with large old-fashioned cuffs, and ruffled shirt-sleeves. Probably Karl Friedrich Abel, well known in London concert rooms at this time." - -British Museum online catalogue.	No.18: A man seated and playing a viol da gamba, the upper end of which is decorated by a carved head with a smiling face, wearing a laurel wreath, which is probably a portrait of the musician. He wears a small wig, a coat with large old-fashioned cuffs, and ruffled shirt-sleeves. Probably Abel, well known in London concert rooms at this time.
0.87	681	True	"A pugilistic encounter between the Duke of York *BRACKETED* and Lt.-Col. Charles Lennox *BRACKETED* , both stripped to the waist. The Duke stands with both fists clenched, saying, *TRANSCRIBED* Lennox, on one knee, clutches the arm of his second, the Duke of Richmond, saying, *TRANSCRIBED* . Richmond puts out a hand to restrain his nephew, saying with an expression of alarm, *TRANSCRIBED* The Prince of Wales, on the extreme left, is his brother's second; he says, with a contemptuous expression, *TRANSCRIBED* Behind him is a Union flag; behind Richmond are fortifications flying a French flag, symbolizing his French descent and title ..." - -British Museum online catalogue.	A pugilistic encounter between the Duke of York *BRACKETED* and Lt.-Col. Charles Lennox *BRACKETED* , both stripped to the waist. The Duke stands with both fists clenched, saying, *TRANSCRIBED* Lennox, on one knee, clutches the arm of his second, the Duke of Richmond, saying, *TRANSCRIBED* . Richmond puts out a hand to restrain his nephew, saying with an expression of alarm, *TRANSCRIBED* The Prince of Wales, on the extreme left, is his brother's second; he says, with a contemptuous expression, *TRANSCRIBED* Behind him is a Union flag; behind Richmond are fortifications flying a French flag, symbolizing his French descent and title, cf. BMSat 7479, as well as his abortive scheme, see BMSat 6921, &c. For his descent from Charles II cf. BMSat 7507. Beneath the design is etched: *TRANSCRIBED* .
0.97	1892	True	"A winding river flows *BRACKETED* towards a hill in the background surmounted by a temple of Fame. In the foreground *BRACKETED* is a *TRANSCRIBED* ; in the stream float turds from the dunghill, while farther up are golden apples, crowned and inscribed. The foremost is *TRANSCRIBED* , close behind are *TRANSCRIBED* and *TRANSCRIBED* ; they are followed by a *BRACKETED* *TRANSCRIBED* and a small *TRANSCRIBED* *BRACKETED* . From a mass of floating dung emerges the profile head of Bonaparte, wearing a feathered cocked hat inscribed *TRANSCRIBED* ; this is the central and dominating object in the river; from his mouth issues a large label: *TRANSCRIBED* Lumps of dung close behind him are inscribed *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , and *TRANSCRIBED* *BRACKETED* . They are followed by *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . Bonaparte swims between *TRANSCRIBED* and *TRANSCRIBED* , both in proximity to dung. Behind him float *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . A spreading column of thick smoke arises from the dunghill, which is composed of inscribed fragments, from which in the left foreground tiny heads emerge, the dominant one being Fox, who says: *TRANSCRIBED* ; next him is *TRANSCRIBED* . Tierney, the second head, says: *TRANSCRIBED* . The others are Sheridan, Nicholls, Erskine, and *BRACKETED* Burdett, Derby, Taylor. Those indicated by names only are: *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , close to *BRACKETED* *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* ." - -British Museum online catalogue.	A winding river flows *BRACKETED* towards a hill in the background surmounted by a temple of Fame. In the foreground *BRACKETED* is a *TRANSCRIBED* ; in the stream float turds from the dunghill, while farther up are golden apples, crowned and inscribed. The foremost is *TRANSCRIBED* , close behind are *TRANSCRIBED* and *TRANSCRIBED* ; they are followed by a *BRACKETED* *TRANSCRIBED* and a small *TRANSCRIBED* *BRACKETED* . From a mass of floating dung emerges the profile head of Bonaparte, wearing a feathered cocked hat inscribed *TRANSCRIBED* ; this is the central and dominating object in the river; from his mouth issues a large label: *TRANSCRIBED* Lumps of dung close behind him are inscribed *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* , and *TRANSCRIBED* *BRACKETED* . They are followed by *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . Bonaparte swims between *TRANSCRIBED* and *TRANSCRIBED* , both in proximity to dung. Behind him float *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . A spreading column of thick smoke arises from the dunghill, which is composed of inscribed fragments, from which in the left foreground tiny heads emerge, the dominant one being Fox, who says: *TRANSCRIBED* ; next him is *TRANSCRIBED* . Tierney, the second head, says: *TRANSCRIBED* . The others are Sheridan, Nicholls, Erskine, and *BRACKETED* Burdett, Derby, Taylor. Those indicated by names only are: *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , close to *BRACKETED* *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . Beneath the title: *TRANSCRIBED* - viz. Kings & Horse Turds <<CLOSE .
0.97	1315	True	"Four monarchs divide between them a map of the territories of the Dutch Republic, all saying, *TRANSCRIBED* In the background *BRACKETED* the *TRANSCRIBED* falls in ruins, and on a small rock in the sea inscribed *TRANSCRIBED* a fat Dutchman in back view, looking out to sea, says, *TRANSCRIBED* ; the words ascend in the smoke of his pipe. He holds a sword and is surrounded by cackling geese. All four sovereigns hold the map, and all shed tears: George III *BRACKETED* tugs at it with both hands, tearing off a piece inscribed *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . Frederick William of Prussia *BRACKETED* , seated on the ground, wearing a fool's cap decorated with the skull and cross-bones of the Death's Head Hussars, uses a dagger to cut off a piece containing *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , and *TRANSCRIBED* . The Emperor Joseph, standing opposite Frederick William, slices the map with a large sword, securing *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* . Between Joseph and George III Louis XVI, dressed as a French fop, uses a pair of shears to cut off *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* ." - -British Museum online catalogue.	One of the same series as BMSat 7214. Four monarchs divide between them a map of the territories of the Dutch Republic, all saying, *TRANSCRIBED* In the background *BRACKETED* the *TRANSCRIBED* falls in ruins, and on a small rock in the sea inscribed *TRANSCRIBED* a fat Dutchman in back view, looking out to sea, says, *TRANSCRIBED* ; the words ascend in the smoke of his pipe. He holds a sword and is surrounded by cackling geese. All four sovereigns hold the map, and all shed tears: George III *BRACKETED* tugs at it with both hands, tearing off a piece inscribed *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* . Frederick William of Prussia *BRACKETED* , seated on the ground, wearing a fool's cap decorated with the skull and cross-bones of the Death's Head Hussars, uses a dagger to cut off a piece containing *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* , and *TRANSCRIBED* . The Emperor Joseph, standing opposite Frederick William, slices the map with a large sword, securing *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* , *TRANSCRIBED* . Between Joseph and George III Louis XVI, dressed as a French fop, uses a pair of shears to cut off *TRANSCRIBED* , *TRANSCRIBED* , *TRANSCRIBED* .
0.98	1278	True	"Napoleon mounted on an ass in profile to the right faces a piece of water in which *TRANSCRIBED* *BRACKETED* , fat Dutch soldiers, are mounted on huge frogs. All wear bonnets rouges with bulky breeches defining heavy posteriors. All hold drawn sabres and have small kegs *BRACKETED* under the left arm; although they are smoking they have a disciplined and martial appearance compared with the Frenchmen. Napoleon wears a huge bicorne with crown and plume, and holds a sabre against his shoulder. His ass brays and urinates violently. A burlesqued and very miscellaneous staff and escort is grouped behind him; they have a tricolour flag and an eagle, while a soldier holding a second eagle struggles painfully out of the water. Immediately behind Napoleon are a drummer beating a drum, and a dwarfish companion blowing a fife. Both wear high conical caps with drooping peaks. A soldier with curved *BRACKETED* shins negligently holds a musket, looking mournfully at a fat friar, also with a musket, who drinks from a bottle of *TRANSCRIBED* . There is an eighth man with a grotesquely sharp profile. In the background a column of tiny soldiers stretches away in an endless line to the right. Behind them are the roofs and towers of a town." - -British Museum online catalogue.	Napoleon mounted on an ass in profile to the right faces a piece of water in which *TRANSCRIBED* *BRACKETED* , fat Dutch soldiers, are mounted on huge frogs. All wear bonnets rouges with bulky breeches defining heavy posteriors. All hold drawn sabres and have small kegs *BRACKETED* under the left arm; although they are smoking they have a disciplined and martial appearance compared with the Frenchmen. Napoleon wears a huge bicorne with crown and plume, and holds a sabre against his shoulder. His ass brays and urinates violently. A burlesqued and very miscellaneous staff and escort is grouped behind him; they have a tricolour flag and an eagle, while a soldier holding a second eagle struggles painfully out of the water. Immediately behind Napoleon are a drummer beating a drum, and a dwarfish companion blowing a fife. Both wear high conical caps with drooping peaks. A soldier with curved *BRACKETED* shins negligently holds a musket, looking mournfully at a fat friar, also with a musket, who drinks from a bottle of *TRANSCRIBED* . There is an eighth man with a grotesquely sharp profile. In the background a column of tiny soldiers stretches away in an endless line to the right. Behind them are the roofs and towers of a town. Plate numbered 187.
0.92	380	False	The interior of a watch-house at night. The constable in charge sits in his hooded chair *BRACKETED* , book and pen at his right hand, holding his long pipe, a tankard beside him. He frowns perplexedly at Tom, who stands at the bar declaiming, an angry and damaged watchman pointing to him. Jerry struggles with several watchmen, and by the door *BRACKETED* a man fees a watchman.	Illustration to Pierce Egan's Life in London, page 184. The interior of a watch-house at night. The constable in charge sits in his hooded chair *BRACKETED* , book and pen at his r. hand, holding his long pipe, a tankard beside him. He frowns perplexedly at Tom, who stands at the bar declaiming, an angry and damaged watchman pointing to him. Jerry struggles with several watchmen, and by the door *BRACKETED* a man fees a watchman.
0.86	530	False	"The undergraduate *BRACKETED* finds himself face to face with the Master who is walking with a Fellow across the College quadrangle. He stops, putting his hand to his cap, while his dog tries to take cover behind his legs and gown. A college servant behind him *BRACKETED* raises a broom to smite the intruding dog. The background is part of the side of the Chapel or Hall with the rooms at right angles to it. After the title: The Master's Wig the guilty wight appals Who brings his Dog within the College walk." 22 October 1806	See BMSat 10639. The undergraduate *BRACKETED* finds himself face to face with the Master who is walking with a Fellow across the College quadrangle. He stops, putting his hand to his cap, while his dog tries to take cover behind his legs and gown. A college servant behind him *BRACKETED* raises a broom to smite the intruding dog. The background is part of the side of the Chapel or Hall, llh the rooms at r. angles to it. After the title: *TRANSCRIBED* .
0.93	663	True	"A bedroom scene. A lean and elderly man stands just within the open door *BRACKETED* , holding a lighted candle, and bowing hat in hand to one of the occupants of the bed, who sits up, doffing his nightcap with equal ceremony. The woman is defined by the bed-clothes; she lies on her face clutching the pillow. The visitor wears slippers with un gartered stockings and breeches open at the knee; in his pocket is a book *TRANSCRIBED* . He says: *TRANSCRIBED* The other answers: *TRANSCRIBED* The men gaze at each other, warily intent, hostility predominant in the husband, alarm in his rival." - -British Museum online catalogue, description of an earlier state.	A bedroom scene. A lean and elderly man stands just within the open door *BRACKETED* , holding a lighted candle, and bowing hat in hand to one of the occupants of the bed, who sits up, doffing his nightcap with equal ceremony. The woman is defined by the bed-clothes; she lies on her face clutching the pillow. The visitor wears slippers with un gartered stockings and breeches open at the knee; in his pocket is a book *TRANSCRIBED* . He says: *TRANSCRIBED* The other answers: *TRANSCRIBED* The men gaze at each other, warily intent, hostility predominant in the husband, alarm in his rival. Plate numbered 14.
0.52	749	False	An ugly man in old-fashioned dress stands full-face, toes turned in, squinting, and looking downwards. An *TRANSCRIBED* is in his right hand, his left hand is in his breeches pocket; a document inscribed *TRANSCRIBED* protrudes from his coat-pocket. His scanty audience of seven men, most of them sleeping, is behind him, on either side of a fireplace. A broken candle on the mantel drips wax into the mouth of one of the sleeping men *BRACKETED* , much to the amusement of his neighbour on his right. In the doorway on the far-left, one of the men uses a ear-trumpet; one holds a tea cup in his hand, and a third yawns. Over the chimney-piece is a large clock-face, the hands indicating 10:56; above it is a carved owl and the words *TRANSCRIBED* .	An ugly man in old-fashioned dress stands full-face, toes turned in, squinting, and looking downwards. An *TRANSCRIBED* is in his right hand, his left hand is in his breeches pocket; a document inscribed *TRANSCRIBED* *BRACKETED* protrudes from his coat-pocket. His scanty audience is behind him, on each side of a fireplace, for the most part asleep. A broken candle on the chimney-piece drops wax into the mouth of a sleeping man *BRACKETED* , to the amusement of his neighbour. Over the chimney-piece is a large clock-face, the hands indicating 10.56; above it is a carved owl and the words *TRANSCRIBED* . Beneath the design: *TRANSCRIBED* 29 November 1795.
0.97	893	True	"A satirical representation of the duel between the Duke of York and Lennox. The Duke *BRACKETED* , calm and dignified, fires his pistol in the air; Lennox *BRACKETED* , his knees bending in obvious alarm, holds a pistol in each hand, saying, *TRANSCRIBED* your hair? & that you will retract the opinion of my being a Coward" . The Duke, whose hat is on the ground, answers, *TRANSCRIBED* The seconds stand behind their principals: *TRANSCRIBED* , in profile to the right, a pistol in each hand, says, *TRANSCRIBED* *BRACKETED* ; *TRANSCRIBED* *BRACKETED* , looking very frightened, holds an arsenal of pistols under his left arm, a blunderbuss in his right hand, saying, *TRANSCRIBED* All wear military uniform; Winchilsea was a Lord of the Bedchamber, Lennox Lt.-Col. in the Coldstream, the Duke's regiment. In the background stands an empty post-chaise." - -British Museum online catalogue.	A satirical representation of the duel between the Duke of York and Lennox. The Duke *BRACKETED* , calm and dignified, fires his pistol in the air; Lennox *BRACKETED* , his knees bending in obvious alarm, holds a pistol in each hand, saying, *TRANSCRIBED* your hair? & that you will retract the opinion of my being a Coward <<CLOSE . The Duke, whose hat is on the ground, answers, *TRANSCRIBED* The seconds stand behind their principals: *TRANSCRIBED* , in profile to the right, a pistol in each hand, says, *TRANSCRIBED* *BRACKETED* ; *TRANSCRIBED* *BRACKETED* , looking very frightened, holds an arsenal of pistols under his left arm, a blunderbuss in his right hand, saying, *TRANSCRIBED* All wear military uniform; Winchilsea was a Lord of the Bedchamber, Lennox Lt.-Col. in the Coldstream, the Duke's regiment. In the background stands an empty post-chaise.
